"Player","League_from","League_to","Fee","Season"
"Henrikh Mkhitaryan","Premier Liga","Premier Liga","5.27","10-11"
"Kevin-Prince Boateng","Championship","Serie A","5.13","10-11"
"Gojko Kacar","2. Bundesliga","Bundesliga","4.95","10-11"
"Mehmet Topal","Süper Lig","LaLiga","4.95","10-11"
"Franco Jara","Torneo Final","Liga NOS","4.95","10-11"
"Miroslav Stoch","Premier League","Süper Lig","4.95","10-11"
"Tiberio Guarente","Serie B","LaLiga","4.95","10-11"
"Christian Poulsen","Serie A","Premier League","4.93","10-11"
"Samuel Inkoom","SSL","Premier Liga","4.77","10-11"
"Nicola Pozzi","Serie B","Serie A","4.68","10-11"
"Gylfi Sigurdsson","Championship","Bundesliga","4.68","10-11"
"Mauricio Pinilla","Serie B","Serie A","4.59","10-11"
"Nenê","Ligue 1","Ligue 1","4.5","10-11"
"Patrick Helmes","Bundesliga","Bundesliga","4.5","10-11"
"Mounir El Hamdaoui","Eredivisie","Eredivisie","4.5","10-11"
"Senijad Ibricic","1.HNL","Premier Liga","4.5","10-11"
"Alexis Ruano","LaLiga","LaLiga","4.5","10-11"
"Aristide Bancé","Bundesliga","United Arab Emirates","4.5","10-11"
"Chico","LaLiga","Serie A","4.5","10-11"
"Ezequiel Muñoz","Torneo Final","Serie A","4.5","10-11"
"Anders Lindegaard","Tippeligaen","Premier League","4.5","10-11"
"Razak Boukari","Ligue 1","Ligue 1","4.5","10-11"
"Jonathan Cristaldo","Torneo Final","Premier Liga","4.5","10-11"
"Bogdan Stancu","Liga 1","Süper Lig","4.5","10-11"
"Pablo González","Serie B","Serie A","4.5","10-11"
"Shamil Lakhiyalov","Premier Liga","Premier Liga","4.5","10-11"
"Diego Tardelli","Série A","Premier Liga","4.5","10-11"
"Nikica Jelavic","Bundesliga","Premiership","4.41","10-11"
"Pablo Barrera","Primera Clausura","Premier League","4.32","10-11"
"Jean Beausejour","Primera Clausura","Premier League","4.32","10-11"
"Robert Lewandowski","Ekstraklasa","Bundesliga","4.28","10-11"
"Guido Marilungo","Serie A","Serie B","4.23","10-11"
"Daniel Osvaldo","Serie A","LaLiga","4.14","10-11"
"Lorik Cana","Premier League","Süper Lig","4.05","10-11"
"Gaetano D'Agostino","Serie A","Serie A","4.05","10-11"
"Zvjezdan Misimovic","Süper Lig","Premier Liga","4.05","10-11"
"Barreto","Serie A","Serie A","4.05","10-11"
"Eduardo","Liga NOS","Serie A","4.05","10-11"
"Tuncay Sanli","Premier League","Bundesliga","4.05","10-11"
"Sokratis","Serie A","Serie A","4.05","10-11"
"Fahid Ben Khalfallah","Ligue 1","Ligue 1","4.05","10-11"
"Marco Storari","Serie A","Serie A","4.05","10-11"
"Jardel","Brazil","Liga NOS","4.03","10-11"
"Massimo Maccarone","Serie B","Serie A","3.96","10-11"
"Alberto Paloschi","Serie A","Serie A","3.92","10-11"
"Aritz Aduriz","LaLiga","LaLiga","3.87","10-11"
"Adriano","J.League Div.1","Qatar","3.87","10-11"
"Cheik Tioté","Eredivisie","Premier League","3.85","10-11"
"Juanfran","LaLiga","LaLiga","3.83","10-11"
"Juan Iturbe","Torneo Final","Liga NOS","3.83","10-11"
"Jonathan Biabiany","Serie A","Serie A","3.78","10-11"
"Jajá","UPL","Süper Lig","3.78","10-11"
"Nadir Belhadj","Championship","Qatar","3.78","10-11"
"Winston Reid","Superligaen","Premier League","3.78","10-11"
"Éder","Serie B","Serie A","3.78","10-11"
"Paul Konchesky","Premier League","Premier League","3.78","10-11"
"Federico Rodríguez","Primera División","Serie A","3.78","10-11"
"Rod Fanni","Ligue 1","Ligue 1","3.6","10-11"
"Onyekachi Apam","Ligue 1","Ligue 1","3.6","10-11"
"Dmitri Kombarov","Premier Liga","Premier Liga","3.6","10-11"
"Nicolás Otamendi","Torneo Final","Liga NOS","3.6","10-11"
"Mario Bolatti","Serie A","Série A","3.6","10-11"
"Igor de Camargo","Jupiler Pro League","Bundesliga","3.6","10-11"
"Maicosuel","Bundesliga","Série A","3.6","10-11"
"Kirill Kombarov","Premier Liga","Premier Liga","3.6","10-11"
"Curtis Davies","Premier League","Premier League","3.6","10-11"
"Wellington Silva","Série A","Premier League","3.6","10-11"
"Alípio","Spain","Portugal","3.6","10-11"
"Marco Fossati","Italy","Primavera B","3.6","10-11"
"Ronnie Stam","Eredivisie","Premier League","3.6","10-11"
"Sebastian Rudy","Bundesliga","Bundesliga","3.6","10-11"
"Alessio Cerci","Serie A","Serie A","3.6","10-11"
"Mémé Tchité","LaLiga","Jupiler Pro League","3.6","10-11"
"Roberto Firmino","Brazil","Bundesliga","3.6","10-11"
"Juraj Kucka","Gambrinus Liga","Serie A","3.6","10-11"
"Ivan Strinic","1.HNL","Premier Liga","3.6","10-11"
"Cristiano Ronaldo","Premier League","LaLiga","84.6","09-10"
"Zlatan Ibrahimovic","Serie A","LaLiga","62.55","09-10"
"Kaká","Serie A","LaLiga","60.3","09-10"
"Karim Benzema","Ligue 1","LaLiga","31.5","09-10"
"Xabi Alonso","Premier League","LaLiga","31.05","09-10"
"Mario Gómez","Bundesliga","Bundesliga","27","09-10"
"Emmanuel Adebayor","Premier League","Premier League","26.1","09-10"
"Carlos Tevez","Premier League","Premier League","26.1","09-10"
"Diego Milito","Serie A","Serie A","25.2","09-10"
"Joleon Lescott","Premier League","Premier League","24.75","09-10"
"Diego","Bundesliga","Serie A","24.3","09-10"
"Arjen Robben","LaLiga","Bundesliga","22.5","09-10"
"Felipe Melo","Serie A","Serie A","22.5","09-10"
"Dmytro Chygrynskyi","UPL","LaLiga","22.5","09-10"
"Lisandro López","Liga NOS","Ligue 1","21.6","09-10"
"Roque Santa Cruz","Premier League","Premier League","19.08","09-10"
"Yuri Zhirkov","Premier Liga","Premier League","18.9","09-10"
"Glen Johnson","Premier League","Premier League","18.45","09-10"
"Mauro Zárate","Qatar","Serie A","18.18","09-10"
"Samuel Eto'o","LaLiga","Serie A","18","09-10"
"Alberto Aquilani","Serie A","Premier League","18","09-10"
"Lucho González","Liga NOS","Ligue 1","17.1","09-10"
"Antonio Valencia","Premier League","Premier League","16.92","09-10"
"Kolo Touré","Premier League","Premier League","16.83","09-10"
"Fabio Quagliarella","Serie A","Serie A","16.2","09-10"
"Michel Bastos","Ligue 1","Ligue 1","16.2","09-10"
"Nilmar","Série A","LaLiga","14.85","09-10"
"Aly Cissokho","Liga NOS","Ligue 1","14.58","09-10"
"Wesley Sneijder","LaLiga","Serie A","13.5","09-10"
"Klaas-Jan Huntelaar","LaLiga","Serie A","13.5","09-10"
"Robert Acquafresca","Serie A","Serie A","13.5","09-10"
"Raúl Albiol","LaLiga","LaLiga","13.5","09-10"
"Ricardo Oliveira","LaLiga2","United Arab Emirates","13.5","09-10"
"Álvaro Negredo","LaLiga","LaLiga","13.5","09-10"
"Keirrison","Brazil","LaLiga","12.6","09-10"
"Gareth Barry","Premier League","Premier League","12.51","09-10"
"Michael Turner","Premier League","Premier League","12.24","09-10"
"Yoann Gourcuff","Serie A","Ligue 1","12.15","09-10"
"Stewart Downing","Championship","Premier League","11.7","09-10"
"Bafétimbi Gomis","Ligue 1","Ligue 1","11.7","09-10"
"Thomas Vermaelen","Eredivisie","Premier League","10.8","09-10"
"Stéphane Mbia","Ligue 1","Ligue 1","10.8","09-10"
"Afonso Alves","Championship","Qatar","10.8","09-10"
"Darren Bent","Premier League","Premier League","10.62","09-10"
"Anatoliy Tymoshchuk","Premier Liga","Bundesliga","9.9","09-10"
"Luca Cigarini","Serie A","Serie A","9.9","09-10"
"Ismaël Bangoura","UPL","Ligue 1","9.9","09-10"
"Obafemi Martins","Championship","Bundesliga","9.45","09-10"
"Sergio Floccari","Serie A","Serie A","9.45","09-10"
"Leonardo Bonucci","Serie A","Serie A","9.45","09-10"
"Peter Crouch","Premier League","Premier League","9.45","09-10"
"Thiago Motta","Serie A","Serie A","9.18","09-10"
"Lukas Podolski","Bundesliga","Bundesliga","9","09-10"
"Daniele Galloppa","Serie A","Serie A","9","09-10"
"Marcus Berg","Eredivisie","Bundesliga","9","09-10"
"Diniyar Bilyaletdinov","Premier Liga","Premier League","9","09-10"
"McDonald Mariga","Serie A","Serie A","9","09-10"
"Fabian Delph","League One","Premier League","8.55","09-10"
"Sébastien Bassong","Championship","Premier League","8.37","09-10"
"Mehmet Topuz","Süper Lig","Süper Lig","8.1","09-10"
"Eljero Elia","Eredivisie","Bundesliga","8.1","09-10"
"Didier Zokora","Premier League","LaLiga","8.1","09-10"
"Stephen Warnock","Premier League","Premier League","8.1","09-10"
"Vladimir Bystrov","Premier Liga","Premier Liga","8.1","09-10"
"Camilo Zúñiga","Serie A","Serie A","7.65","09-10"
"Mevlüt Erdinc","Ligue 1","Ligue 1","7.65","09-10"
"Marko Marin","Bundesliga","Bundesliga","7.38","09-10"
"Djibril Cissé","Ligue 1","Super League","7.2","09-10"
"Zdravko Kuzmanovic","Serie A","Bundesliga","7.2","09-10"
"Cédric Carrasso","Ligue 1","Ligue 1","7.2","09-10"
"Rodrigo Tabata","Süper Lig","Süper Lig","7.2","09-10"
"Douglas Costa","Série A","Premier Liga","7.2","09-10"
"Dejan Lovren","Friendlies","Ligue 1","7.2","09-10"
"Eduardo Salvio","Torneo Final","LaLiga","7.2","09-10"
"Oleksandr Aliyev","UPL","UPL","7.2","09-10"
"Adam Johnson","Championship","Premier League","7.2","09-10"
"Demy de Zeeuw","Eredivisie","Eredivisie","7.2","09-10"
"Danijel Pranjic","Eredivisie","Bundesliga","6.93","09-10"
"Kevin Doyle","Championship","Premier League","6.84","09-10"
"Ramires","Série A","Liga NOS","6.75","09-10"
"Abdul Kader Keita","Ligue 1","Süper Lig","6.75","09-10"
"Leandro","J.League Div.1","Qatar","6.75","09-10"
"Alessandro Rosina","Serie B","Premier Liga","6.57","09-10"
"Daniel Sturridge","Premier League","Premier League","6.53","09-10"
"Lúcio","Bundesliga","Serie A","6.3","09-10"
"Elano","Premier League","Süper Lig","6.3","09-10"
"Josip Simunic","Bundesliga","Bundesliga","6.3","09-10"
"Thiago Neves","Bundesliga","Professional League","6.3","09-10"
"Emiliano Viviano","Serie B","Serie A","6.3","09-10"
"Hugo Campagnaro","Serie A","Serie A","6.3","09-10"
"Karim Ziani","Ligue 1","Bundesliga","6.3","09-10"
"Javier Pastore","Torneo Final","Serie A","6.3","09-10"
"Cristian","Série A","Süper Lig","6.3","09-10"
"Javi García","LaLiga","Liga NOS","6.3","09-10"
"Nikola Kalinic","1.HNL","Premier League","6.3","09-10"
"Lee Cattermole","Premier League","Premier League","6.3","09-10"
"Robert Huth","Championship","Premier League","6.3","09-10"
"José Sand","Torneo Final","United Arab Emirates","6.26","09-10"
"Richard Dunne","Premier League","Premier League","6.12","09-10"
"Johnny Heitinga","LaLiga","Premier League","6.12","09-10"
"Alessandro Diamanti","Serie A","Premier League","6.12","09-10"
"Adem Ljajic","Jelen SuperLiga","Serie A","6.12","09-10"
"Aleksandr Kerzhakov","Premier Liga","Premier Liga","5.85","09-10"
"Sylvain Distin","Premier League","Premier League","5.85","09-10"
"Souleymane Diawara","Ligue 1","Ligue 1","5.85","09-10"
"Florent Sinama-Pongolle","LaLiga","Liga NOS","5.85","09-10"
"Álvaro Pereira","Liga 1","Liga NOS","5.85","09-10"
"Gervinho","Ligue 1","Ligue 1","5.85","09-10"
"Mark González","LaLiga2","Premier Liga","5.85","09-10"
"Gonzalo Bergessio","Torneo Final","Ligue 1","5.58","09-10"
"Savio Nsereko","Premier League","Serie A","5.58","09-10"
"Iván Marcano","LaLiga","LaLiga","5.4","09-10"
"Matuzalém","LaLiga","Serie A","5.4","09-10"
"David Rozehnal","Serie A","Bundesliga","5.4","09-10"
"Wagner","Série A","Premier Liga","5.4","09-10"
"Alex Teixeira","Série A","Premier Liga","5.4","09-10"
"Keisuke Honda","Eredivisie","Premier Liga","5.4","09-10"
"Oscar","Série A","Série A","5.4","09-10"
"Roger Johnson","Championship","Premier League","5.31","09-10"
"Kyle Naughton","Championship","Premier League","5.31","09-10"
"Kyle Walker","Championship","Premier League","5.31","09-10"
"Younès Kaboul","Premier League","Premier League","5.31","09-10"
"Lorik Cana","Ligue 1","Premier League","5.22","09-10"
"Tuncay Sanli","Championship","Premier League","5.13","09-10"
"Davi","J.League Div.1","Qatar","5.13","09-10"
"James Collins","Premier League","Premier League","5.13","09-10"
"Ismail Köybasi","Süper Lig","Süper Lig","4.95","09-10"
"Sergio Asenjo","LaLiga","LaLiga","4.95","09-10"
"Bryan Ruíz","Jupiler Pro League","Eredivisie","4.95","09-10"
"Ikechukwu Uche","LaLiga","LaLiga","4.95","09-10"
"Lorenzo De Silvestri","Serie A","Serie A","4.95","09-10"
"Falcao","Torneo Final","Liga NOS","4.89","09-10"
"Houssine Kharja","Serie A","Serie A","4.68","09-10"
"James McCarthy","Premiership","Premier League","4.59","09-10"
"Maxwell","Serie A","LaLiga","4.5","09-10"
"Álvaro Negredo","LaLiga","LaLiga","4.5","09-10"
"Marco Amelia","Serie A","Serie A","4.5","09-10"
"Fernando Belluschi","GSL","Liga NOS","4.5","09-10"
"André Santos","Série A","Süper Lig","4.5","09-10"
"Réver","Série A","Bundesliga","4.5","09-10"
"Danko Lazovic","Eredivisie","Premier Liga","4.5","09-10"
"Roman Eremenko","Serie A","Premier Liga","4.5","09-10"
"Javier Saviola","LaLiga","Liga NOS","4.5","09-10"
"Miguel Ángel Moyá","LaLiga","LaLiga","4.5","09-10"
"Riccardo Meggiorini","Serie A","Serie A","4.5","09-10"
"Matteo Ferrari","Serie A","Süper Lig","4.5","09-10"
"Yevgen Seleznyov","UPL","UPL","4.5","09-10"
"Erwin Hoffer","Bundesliga","Serie A","4.5","09-10"
"Rubinho","Serie A","Serie A","4.5","09-10"
"Franco Semioli","Serie A","Serie A","4.5","09-10"
"Boubacar Sanogo","Bundesliga","Ligue 1","4.5","09-10"
"Alan Kasaev","Premier Liga","Premier Liga","4.5","09-10"
"Fernando Baiano","United Arab Emirates","United Arab Emirates","4.5","09-10"
"Daniele Vantaggiato","Serie A","Serie B","4.5","09-10"
"Andrea Pisanu","Serie A","Serie A","4.5","09-10"
"Rodrigo Palacio","Torneo Final","Serie A","4.41","09-10"
"Pavel Pogrebnyak","Premier Liga","Bundesliga","4.32","09-10"
"Zat Knight","Premier League","Premier League","4.23","09-10"
"Steven Fletcher","Premiership","Premier League","4.23","09-10"
"Michael Chopra","Premier League","Championship","4.23","09-10"
"Igor Semshov","Premier Liga","Premier Liga","4.23","09-10"
"Franco Zuculini","Torneo Final","Bundesliga","4.14","09-10"
"Alberto Zapater","LaLiga","Serie A","4.05","09-10"
"Marco Marchionni","Serie A","Serie A","4.05","09-10"
"Maicosuel","Brazil","Bundesliga","4.05","09-10"
"Özer Hurmaci","Süper Lig","Süper Lig","4.05","09-10"
"Nenê","Liga NOS","Serie A","4.05","09-10"
"Leandro Almeida","Série A","Premier Liga","4.05","09-10"
"Reginaldo","Serie A","Serie A","4.05","09-10"
"Édgar Barreto","Serie B","Serie A","4.05","09-10"
"Mame Diouf","Tippeligaen","Premier League","4.05","09-10"
"Kevin-Prince Boateng","Premier League","Premier League","4.05","09-10"
"Aleksandr Samedov","Russia","Premier Liga","4.05","09-10"
"Marc-Antoine Fortuné","Ligue 1","Premiership","3.96","09-10"
"Scott McDonald","Premiership","Championship","3.87","09-10"
"Nihat Kahveci","LaLiga","Süper Lig","3.83","09-10"
"Alex Frei","Bundesliga","Super League","3.83","09-10"
"Aquivaldo Mosquera","LaLiga","Primera Clausura","3.78","09-10"
"Raúl Bobadilla","SSL","Bundesliga","3.78","09-10"
"Lucas Barrios","Primera División","Bundesliga","3.78","09-10"
"Edgaras Cesnauskis","Russia","Premier Liga","3.78","09-10"
"Mats Hummels","Bundesliga","Bundesliga","3.78","09-10"
"Matías Fernández","LaLiga","Liga NOS","3.69","09-10"
"Fraizer Campbell","Premier League","Premier League","3.69","09-10"
"Douglas","Série A","United Arab Emirates","3.69","09-10"
"Álvaro Arbeloa","Premier League","LaLiga","3.6","09-10"
"Pedro León","LaLiga","LaLiga","3.6","09-10"
"Damien Duff","Championship","Premier League","3.6","09-10"
"Ibson","Liga NOS","Premier Liga","3.6","09-10"
"Esteban Granero","LaLiga","LaLiga","3.6","09-10"
"Mathieu Coutadeur","Ligue 1","Ligue 1","3.6","09-10"
"Zé Roberto","Primera División","Bundesliga","3.6","09-10"
"Pablo Barrientos","Premier Liga","Serie A","3.6","09-10"
"Leandro Caruso","Torneo Final","Serie A","3.6","09-10"
"Pablo Fontanello","Torneo Final","Serie A","3.6","09-10"
"Scott Dann","Championship","Premier League","3.6","09-10"
"Orlando Engelaar","Bundesliga","Eredivisie","3.6","09-10"
"Gaël Givet","Ligue 1","Premier League","3.6","09-10"
"Leonardo Bonucci","Serie A","Serie A","3.6","09-10"
"Sebastián Leto","Premier League","Super League","3.6","09-10"
"Robinho","LaLiga","Premier League","38.7","08-09"
"Dimitar Berbatov","Premier League","Premier League","34.2","08-09"
"Dani Alves","LaLiga","LaLiga","31.95","08-09"
"Danny","Premier Liga","Premier Liga","27","08-09"
"Klaas-Jan Huntelaar","Eredivisie","LaLiga","24.3","08-09"
"Ricardo Quaresma","Liga NOS","Serie A","22.14","08-09"
"Ronaldinho","LaLiga","Serie A","21.74","08-09"
"Jô","Premier Liga","Premier League","21.6","08-09"
"Robbie Keane","Premier League","Premier League","21.6","08-09"
"Amauri","Serie A","Serie A","20.52","08-09"
"David Bentley","Premier League","Premier League","19.8","08-09"
"Marouane Fellaini","Jupiler Pro League","Premier League","19.58","08-09"
"Luka Modric","1.HNL","Premier League","18.9","08-09"
"Bosingwa","Liga NOS","Premier League","18.45","08-09"
"Lassana Diarra","Premier League","LaLiga","18","08-09"
"Hulk","J.League Div.1","Liga NOS","17.1","08-09"
"Nigel de Jong","Bundesliga","Premier League","16.2","08-09"
"Roman Pavlyuchenko","Premier Liga","Premier League","15.66","08-09"
"Aleksandr Hleb","Premier League","LaLiga","15.3","08-09"
"Robbie Keane","Premier League","Premier League","15.03","08-09"
"Andrey Arshavin","Premier Liga","Premier League","14.85","08-09"
"Martín Cáceres","LaLiga","LaLiga","14.85","08-09"
"Jermain Defoe","Premier League","Premier League","14.76","08-09"
"Miralem Sulejmani","Eredivisie","Eredivisie","14.63","08-09"
"Samir Nasri","Ligue 1","Premier League","14.4","08-09"
"Craig Bellamy","Premier League","Premier League","13.95","08-09"
"Rafael van der Vaart","Bundesliga","LaLiga","13.5","08-09"
"James Milner","Premier League","Premier League","13.5","08-09"
"Wilson Palacios","Premier League","Premier League","13.5","08-09"
"Ederson","Ligue 1","Ligue 1","13.41","08-09"
"Alberto Gilardino","Serie A","Serie A","12.6","08-09"
"Seydou Keita","LaLiga","LaLiga","12.6","08-09"
"Andrea Barzagli","Serie A","Bundesliga","12.6","08-09"
"Jean II Makoun","Ligue 1","Ligue 1","12.6","08-09"
"Dani Güiza","LaLiga","Süper Lig","12.6","08-09"
"Sulley Muntari","Premier League","Serie A","12.6","08-09"
"Vedran Corluka","Premier League","Premier League","12.38","08-09"
"Peter Crouch","Premier League","Premier League","12.33","08-09"
"Andy Johnson","Premier League","Premier League","11.97","08-09"
"Diego Milito","LaLiga2","Serie A","11.7","08-09"
"Mancini","Serie A","Serie A","11.7","08-09"
"Fabricio Coloccini","LaLiga","Premier League","11.7","08-09"
"Wayne Bridge","Premier League","Premier League","11.7","08-09"
"Johan Elmander","Ligue 1","Premier League","11.34","08-09"
"Juan Manuel Vargas","Serie A","Serie A","10.8","08-09"
"Hatem Ben Arfa","Ligue 1","Ligue 1","10.8","08-09"
"Jérémy Ménez","Ligue 1","Serie A","10.8","08-09"
"Marco Borriello","Serie A","Serie A","10.58","08-09"
"Domenico Criscito","Serie A","Serie A","10.35","08-09"
"Shaun Wright-Phillips","Premier League","Premier League","10.13","08-09"
"Gianluca Zambrotta","LaLiga","Serie A","9.45","08-09"
"Luca Cigarini","Serie B","Serie A","9.45","08-09"
"Rafael Sóbis","LaLiga","United Arab Emirates","9.45","08-09"
"Deco","LaLiga","Premier League","9","08-09"
"Jefferson Farfán","Eredivisie","Bundesliga","9","08-09"
"Ricardo Oliveira","Serie A","LaLiga2","9","08-09"
"Júlio Baptista","LaLiga","Serie A","9","08-09"
"Johnny Heitinga","Eredivisie","LaLiga","9","08-09"
"Ezequiel Garay","LaLiga","LaLiga","9","08-09"
"Florent Sinama-Pongolle","LaLiga","LaLiga","9","08-09"
"Curtis Davies","Premier League","Premier League","9","08-09"
"Carlos Cuéllar","Premiership","Premier League","9","08-09"
"Anton Ferdinand","Premier League","Premier League","9","08-09"
"Sergio García","LaLiga2","LaLiga","9","08-09"
"Thiago Silva","Série A","Serie A","9","08-09"
"Albert Riera","LaLiga","Premier League","8.82","08-09"
"Christian Poulsen","LaLiga","Serie A","8.78","08-09"
"Ricardo Oliveira","LaLiga2","LaLiga","8.1","08-09"
"Thiago Neves","Série A","Bundesliga","8.1","08-09"
"Giampaolo Pazzini","Serie A","Serie A","8.1","08-09"
"Marcelo Moreno","Série A","Premier Liga","8.1","08-09"
"Kim","Ligue 1","Qatar","8.1","08-09"
"Heurelho Gomes","Eredivisie","Premier League","8.1","08-09"
"Andrea Dossena","Serie A","Premier League","8.1","08-09"
"Bakari Koné","Ligue 1","Ligue 1","8.1","08-09"
"Diogo","Série A","Super League","8.1","08-09"
"Shay Given","Premier League","Premier League","8.1","08-09"
"Pablo Zabaleta","LaLiga","Premier League","7.83","08-09"
"Vincent Kompany","Bundesliga","Premier League","7.65","08-09"
"Hugo Lloris","Ligue 1","Ligue 1","7.65","08-09"
"Abdoulay Konko","Serie A","LaLiga","7.65","08-09"
"Romaric","Ligue 1","LaLiga","7.65","08-09"
"Savio Nsereko","Serie B","Premier League","7.65","08-09"
"John Mensah","Ligue 1","Ligue 1","7.56","08-09"
"Marcell Jansen","Bundesliga","Bundesliga","7.2","08-09"
"Christian Maggio","Serie A","Serie A","7.2","08-09"
"Felipe Melo","LaLiga","Serie A","7.2","08-09"
"Stevan Jovetic","Jelen SuperLiga","Serie A","7.2","08-09"
"Loïc Rémy","Ligue 1","Ligue 1","7.2","08-09"
"Henrique","Brazil","LaLiga","7.2","08-09"
"Amara Diané","Ligue 1","Qatar","7.2","08-09"
"Stéphane Sessègnon","Ligue 1","Ligue 1","7.2","08-09"
"Asamoah Gyan","Serie A","Ligue 1","7.2","08-09"
"Jorge Valdivia","Série A","United Arab Emirates","7.2","08-09"
"Damián Escudero","Torneo Final","LaLiga","7.2","08-09"
"Cesare Bovo","Serie A","Serie A","7.07","08-09"
"Germán Denis","Torneo Final","Serie A","6.78","08-09"
"Antonio Nocerino","Serie A","Serie A","6.75","08-09"
"Pablo Aimar","LaLiga2","Liga NOS","6.75","08-09"
"Juan Pablo Carrizo","Torneo Final","Serie A","6.75","08-09"
"Mladen Petric","Bundesliga","Bundesliga","6.57","08-09"
"Achille Emaná","Ligue 1","LaLiga","6.3","08-09"
"Darío Cvitanich","Torneo Final","Eredivisie","6.3","08-09"
"Cristian Zaccardo","Serie A","Bundesliga","6.3","08-09"
"Lautaro Acosta","Torneo Final","LaLiga","6.3","08-09"
"Andrea Raggi","Serie B","Serie A","6.3","08-09"
"Pablo Piatti","Torneo Final","LaLiga","6.3","08-09"
"Fernandão","Série A","Qatar","6.3","08-09"
"Rio Mavuba","LaLiga","Ligue 1","6.3","08-09"
"Cristian Rodríguez","Ligue 1","Liga NOS","6.3","08-09"
"Dave Kitson","Championship","Premier League","6.3","08-09"
"Sidnei","Série A","Liga NOS","6.3","08-09"
"Rolando Bianchi","Premier League","Serie A","6.3","08-09"
"Zoran Tosic","Jelen SuperLiga","Premier League","6.3","08-09"
"Daniel Osvaldo","Serie A","Serie A","6.3","08-09"
"Federico Marchetti","Serie B","Serie A","6.03","08-09"
"Daniele Dessena","Serie B","Serie A","6.03","08-09"
"Sébastien Squillaci","Ligue 1","LaLiga","5.85","08-09"
"Yoan Gouffran","Ligue 1","Ligue 1","5.85","08-09"
"Jesús Dátolo","Torneo Final","Serie A","5.85","08-09"
"Charles N'Zogbia","Premier League","Premier League","5.76","08-09"
"Aaron Ramsey","Championship","Premier League","5.76","08-09"
"Fabrice Muamba","Championship","Premier League","5.76","08-09"
"Tal Ben Haim","Premier League","Premier League","5.76","08-09"
"Valon Behrami","Serie A","Premier League","5.67","08-09"
"Steve Sidwell","Premier League","Premier League","5.67","08-09"
"Younès Kaboul","Premier League","Premier League","5.63","08-09"
"Gökhan Ünal","Süper Lig","Süper Lig","5.58","08-09"
"Alex Silva","Brazil","Bundesliga","5.58","08-09"
"Marco Amelia","Serie B","Serie A","5.4","08-09"
"Fernando Meira","Süper Lig","Premier Liga","5.4","08-09"
"Sébastien Puygrenier","Ligue 1","Premier Liga","5.4","08-09"
"Ognjen Vukojevic","1.HNL","Premier Liga","5.4","08-09"
"Giovani dos Santos","LaLiga","Premier League","5.4","08-09"
"Gaby Mudingayi","Serie A","Serie A","5.4","08-09"
"Roberto Soldado","LaLiga","LaLiga","5.4","08-09"
"Baré","J.League Div.1","United Arab Emirates","5.4","08-09"
"Aritz Aduriz","LaLiga","LaLiga","5.4","08-09"
"Nélson","Liga NOS","LaLiga","5.4","08-09"
"Pelé","Serie A","Liga NOS","5.4","08-09"
"Brandão","UPL","Ligue 1","5.4","08-09"
"Mirel Radoi","Liga 1","Saudi Arabia","5.4","08-09"
"Dudu Cearense","Premier Liga","Super League","5.4","08-09"
"Borja Valero","LaLiga","Premier League","5.31","08-09"
"Jonás Gutiérrez","LaLiga","Premier League","5.22","08-09"
"Xisco","LaLiga","Premier League","5.11","08-09"
"John Arne Riise","Premier League","Serie A","4.95","08-09"
"Marko Basa","Ligue 1","Premier Liga","4.95","08-09"
"Joseba Llorente","LaLiga","LaLiga","4.95","08-09"
"Leandro Rinaudo","Serie A","Serie A","4.95","08-09"
"Orlando Engelaar","Eredivisie","Bundesliga","4.95","08-09"
"Milan Baros","Ligue 1","Süper Lig","4.95","08-09"
"George McCartney","Premier League","Premier League","4.95","08-09"
"Mauro Boselli","Torneo Final","Torneo Final","4.77","08-09"
"Jimmy Bullard","Premier League","Premier League","4.77","08-09"
"Renato Augusto","Série A","Bundesliga","4.68","08-09"
"Antonio Cassano","LaLiga","Serie A","4.5","08-09"
"Raffaele Palladino","Serie A","Serie A","4.5","08-09"
"Steed Malbranque","Premier League","Premier League","4.5","08-09"
"Guilherme","Série A","Premier Liga","4.5","08-09"
"Pascal Feindouno","Ligue 1","Qatar","4.5","08-09"
"Alex","Série A","Premier Liga","4.5","08-09"
"Igor Semshov","Premier Liga","Premier Liga","4.5","08-09"
"Gerard Piqué","Premier League","LaLiga","4.5","08-09"
"Karim El Ahmadi","Eredivisie","Eredivisie","4.5","08-09"
"Andrea Gasbarroni","Serie B","Serie A","4.5","08-09"
"Hilton","Ligue 2","Ligue 1","4.5","08-09"
"Steve Savidan","Ligue 1","Ligue 1","4.5","08-09"
"Didier Digard","Ligue 1","Premier League","4.5","08-09"
"Cristian Sapunaru","Liga 1","Liga NOS","4.5","08-09"
"Khalid Boulahrouz","Premier League","Bundesliga","4.5","08-09"
"Renan","Série A","LaLiga","4.5","08-09"
"Nicolás Pareja","Jupiler Pro League","LaLiga","4.5","08-09"
"Charles","Série A","Premier Liga","4.5","08-09"
"Davide Astori","Serie A","Serie A","4.5","08-09"
"Marcus Diniz","Serie B","Serie A","4.5","08-09"
"Gianluca Comotto","Serie A","Serie A","4.32","08-09"
"Andrea Lazzari","Serie A","Serie A","4.32","08-09"
"Moussa Maazou","Jupiler Pro League","Premier Liga","4.32","08-09"
"Hugo Rodallega","Primera Clausura","Premier League","4.32","08-09"
"Rubén de la Red","LaLiga","LaLiga","4.23","08-09"
